"kjonn","alder","ansvar","likhet","staasted"
2,45,3,4,7
2,50,5,2,6
1,40,8,3,10
2,53,6,2,7
1,53,5,4,5
1,50,6,2,5
2,15,7,2,5
1,42,7,3,5
1,65,4,2,7
2,31,9,2,3
2,30,5,2,5
2,37,6,2,4
1,55,6,2,5
2,31,3,2,5
2,17,8,3,6
2,47,5,3,4
1,15,7,2,3
2,36,8,2,6
2,17,4,3,3
1,52,8,2,5
1,34,9,3,3
2,25,6,3,4
2,32,6,2,3
2,72,6,2,2
2,60,7,3,4
2,32,8,2,2
2,62,6,3,2
2,28,5,3,2
2,65,5,4,2
1,65,6,4,8
2,60,5,2,7
1,48,5,2,5
2,34,3,2,5
1,51,2,2,5
1,60,4,2,5
2,33,7,2,6
2,60,4,3,5
1,51,5,2,5
1,30,7,2,5
1,27,5,2,5
2,70,7,4,5
2,41,3,2,5
2,60,6,2,5
2,19,5,2,5
1,16,4,2,6
2,42,3,3,5
1,57,5,4,5
1,56,7,3,6
1,57,3,2,4
1,46,8,2,5
1,49,10,2,5
1,21,8,2,2
1,32,7,1,5
1,25,6,3,6
2,66,7,2,7
2,37,6,2,5
2,31,5,4,5
2,46,7,2,5
2,70,6,2,NA
1,54,7,2,5
1,79,10,2,8
1,20,2,3,5
1,23,3,5,3
2,44,7,2,5
1,51,6,2,4
2,48,8,2,3
1,15,6,3,4
1,75,5,3,8
1,39,6,2,5
2,77,3,4,NA
2,74,6,3,7
1,46,6,2,6
2,81,8,3,6
1,41,5,2,5
1,43,6,3,5
1,29,10,2,2
2,25,4,3,5
1,84,7,3,7
2,86,5,4,6
1,43,8,2,5
1,78,7,2,4
1,24,3,2,4
2,58,5,2,4
2,57,10,4,2
1,87,5,2,5
1,74,7,2,7
1,57,7,3,5
2,93,0,2,8
2,17,8,3,5
2,48,8,4,9
1,65,6,2,4
2,60,4,2,4
2,79,3,2,4
1,30,6,2,5
2,20,10,2,5
2,84,5,2,6
1,29,NA,NA,NA
2,25,8,2,2
2,48,4,2,6
1,66,7,4,3
2,51,3,2,5
